N°placette;Code;X;Y;D;SERVICE;CARTE;TYPE;TYPE_DESCR IGN
32;32.8;197500;74000;8;DIRECTION DE DINANT;64_1n;VE113;Feuillus en futaie avec sous-bois ligneux
33;33.8;188500;69000;8;DIRECTION DE DINANT;63_4s;VE320;Prairie ou pré de fauche
34;34.7;213500;68500;7;DIRECTION DE NEUFCHATEAU;64_3s;VE320;Prairie ou pré de fauche
35;35.7;211500;83000;7;DIRECTION DE NEUFCHATEAU;59_7s;VE113;Feuillus en futaie avec sous-bois ligneux
36;36.7;217500;82000;7;DIRECTION DE NEUFCHATEAU;59_7s;VE120;Conifères
37;37.1;225500;40500;1;DIRECTION D'ARLON;67_8s;VE113;Feuillus en futaie avec sous-bois ligneux
38;38.1;222500;40000;1;DIRECTION D'ARLON;67_8s;VE113;Feuillus en futaie avec sous-bois ligneux
39;39.5;172500;108000;5;DIRECTION DE NAMUR;53_6n;VE340;Surface agricole ou culture maraîchère
40;40.8;191500;103000;8;DIRECTION DE DINANT;53_8s;VE132;Couvert mixteà  feuillus dominants
41;41.8;188500;114000;8;DIRECTION DE DINANT;53_4n;VE330;Jardin d'agrément ou potager
42;42.8;201500;89000;8;DIRECTION DE DINANT;59_1s;RO112;Route
43;43.8;197500;94500;8;DIRECTION DE DINANT;59_1n;VE320;Prairie ou pré de fauche
44;44.8;197500;88000;8;DIRECTION DE DINANT;59_5n;VE113;Feuillus en futaie avec sous-bois ligneux
45;45.5;174500;133000;5;DIRECTION DE NAMUR;47_2s;ST113;Hangar
46;46.5;170500;137500;5;DIRECTION DE NAMUR;47_2n;VE340;Surface agricole ou culture maraîchère
47;47.5;193500;124000;5;DIRECTION DE NAMUR;47_8n;VE113;Feuillus en futaie avec sous-bois ligneux
48;48.5;193500;118000;5;DIRECTION DE NAMUR;53_4n;VE340;Surface agricole ou culture maraîchère
49;49.5;186500;131000;5;DIRECTION DE NAMUR;47_4s;VE330;Jardin d'agrément ou potager
50;50.2;217500;143000;2;DIRECTION DE LIEGE;41_7s;VE340;Surface agricole ou culture maraîchère
51;51.2;231500;141000;2;DIRECTION DE LIEGE;42_5s;VE133;Couvert mixteà  conifères dominants
52;52.2;233500;122000;2;DIRECTION DE LIEGE;49_5s;VE320;Prairie ou pré de fauche
53;53.3;231500;118500;3;DIRECTION DE MARCHE-EN-FAMENNE;49_5s;VE113;Feuillus en futaie avec sous-bois ligneux
54;54.8;204500;88000;8;DIRECTION DE DINANT;59_6n;ST911;Bâtiment ordinaire
55;55.8;204500;90500;8;DIRECTION DE DINANT;59_2s;VE231;Végétation rudérale
56;56.3;216500;93000;3;DIRECTION DE MARCHE-EN-FAMENNE;59_3s;VE320;Prairie ou pré de fauche
57;57.3;229500;103000;3;DIRECTION DE MARCHE-EN-FAMENNE;55_5s;VE120;Conifères
58;58.3;233500;85500;3;DIRECTION DE MARCHE-EN-FAMENNE;60_5n;VE320;Prairie ou pré de fauche
59;59.3;236500;104000;3;DIRECTION DE MARCHE-EN-FAMENNE;55_6n;VE120;Conifères
60;60.3;252500;103000;3;DIRECTION DE MARCHE-EN-FAMENNE;55_8s;VE120;Conifères
61;61.3;253500;100500;3;DIRECTION DE MARCHE-EN-FAMENNE;55_8s;VE120;Conifères
62;62.3;240500;117000;3;DIRECTION DE MARCHE-EN-FAMENNE;55_2n;VE120;Conifères
63;63.2;244500;130500;2;DIRECTION DE LIEGE;49_3s;RO112;Route
64;64.2;243500;118500;2;DIRECTION DE LIEGE;49_7s;VE113;Feuillus en futaie avec sous-bois ligneux
65;65.2;238500;140000;2;DIRECTION DE LIEGE;42_6s;VE320;Prairie ou pré de fauche
66;66.2;266500;129500;2;DIRECTION DE LIEGE;50_2s;VE120;Conifères
67;67.6;278500;104000;6;DIRECTION DE MALMEDY-BULLANGE;56_7n;VE113;Feuillus en futaie avec sous-bois ligneux
68;68.6;285500;113000;6;DIRECTION DE MALMEDY-BULLANGE;56_4s;VE320;Prairie ou pré de fauche
69;69.6;288500;115500;6;DIRECTION DE MALMEDY-BULLANGE;56_4n;VE120;Conifères
70;70.1;237500;29000;1;DIRECTION D'ARLON;71_2s;VE340;Surface agricole ou culture maraîchère
71;71.1;248500;48000;1;DIRECTION D'ARLON;68_7n;VE320;Prairie ou pré de fauche
72;72.1;252500;37500;1;DIRECTION D'ARLON;71_4n;VE113;Feuillus en futaie avec sous-bois ligneux
73;73.1;252500;45500;1;DIRECTION D'ARLON;68_8n;VE113;Feuillus en futaie avec sous-bois ligneux
74;74.1;255500;35500;1;DIRECTION D'ARLON;71_4n;VE320;Prairie ou pré de fauche
