Site;Night_Date;Id;Positive_min;Validation;Nb_contacts;X;Y;Habitat1;Habitat2;Machine;Opérateur;Projet;start;end;diff
Au Savlon;07/08/2016;ENVsp;5;;7;231148;47525;Lisière vraie (milieu ouvert/milieux forestier);;SM2-A;François F.;Barbalux;21:18;05:56;8,63333333333333
Au Savlon;07/08/2016;Eptser;2;A. Flipo - Smits Q.;2;231148;47525;Lisière vraie (milieu ouvert/milieux forestier);;SM2-A;François F.;Barbalux;21:18;05:56;8,63333333333333
Au Savlon;07/08/2016;Myosp;12;;16;231148;47525;Lisière vraie (milieu ouvert/milieux forestier);;SM2-A;François F.;Barbalux;21:18;05:56;8,63333333333333
Au Savlon;07/08/2016;Nyclei;1;Smits Q.;1;231148;47525;Lisière vraie (milieu ouvert/milieux forestier);;SM2-A;François F.;Barbalux;21:18;05:56;8,63333333333333
Au Savlon;07/08/2016;parasi;8;;8;231148;47525;Lisière vraie (milieu ouvert/milieux forestier);;SM2-A;François F.;Barbalux;21:18;05:56;8,63333333333333
Au Savlon;07/08/2016;Pip50;13;;13;231148;47525;Lisière vraie (milieu ouvert/milieux forestier);;SM2-A;François F.;Barbalux;21:18;05:56;8,63333333333333
Au Savlon;07/08/2016;Pippit;2;A. Flipo;2;231148;47525;Lisière vraie (milieu ouvert/milieux forestier);;SM2-A;François F.;Barbalux;21:18;05:56;8,63333333333333
Au Savlon;07/08/2016;Rhifer;4;A. Flipo;4;231148;47525;Lisière vraie (milieu ouvert/milieux forestier);;SM2-A;François F.;Barbalux;21:18;05:56;8,63333333333333
Aulnaie pied tunnel;06/06/2016;ChiroSp;7;A. Flipo;8;230383;37512;;;SM3;Verte P.;Barbalux;21:08;03:44;6,6
Aulnaie pied tunnel;06/06/2016;Pip35;1;Smits Q.;1;230383;37512;;;SM3;Verte P.;Barbalux;21:08;03:44;6,6
Aulnaie pied tunnel;06/06/2016;Pip50;1;;1;230383;37512;;;SM3;Verte P.;Barbalux;21:08;03:44;6,6
Aulnaie pied tunnel;06/06/2016;PippiT;61;;188;230383;37512;;;SM3;Verte P.;Barbalux;21:08;03:44;6,6
Aulnaie pied tunnel;06/06/2016;Rhifer;1;Smits Q.;1;230383;37512;;;SM3;Verte P.;Barbalux;21:08;03:44;6,6
Aval pont Chevratte;13/05/2016;ChiroSp;29;;31;231176;34864;Cours d'eau - ruisseau (L < 3m);;SM3;P. Verte;Barbalux;18:36;03:52;9,26666666666667
Aval pont Chevratte;13/05/2016;Myosp;20;;26;231176;34864;Cours d'eau - ruisseau (L < 3m);;SM3;P. Verte;Barbalux;18:36;03:52;9,26666666666667
Aval pont Chevratte;13/05/2016;parasi;3;;3;231176;34864;Cours d'eau - ruisseau (L < 3m);;SM3;P. Verte;Barbalux;18:36;03:52;9,26666666666667
Aval pont Chevratte;13/05/2016;PippiT;6;;7;231176;34864;Cours d'eau - ruisseau (L < 3m);;SM3;P. Verte;Barbalux;18:36;03:52;9,26666666666667
Aval pont Chevratte;13/05/2016;Rhihip;3;P. Nyssen;4;231176;34864;Cours d'eau - ruisseau (L < 3m);;SM3;P. Verte;Barbalux;18:36;03:52;9,26666666666667
Bertrix - « la bonne fontaine »;26/05/2016;ChiroSp;80;A. Flipo;169;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la bonne fontaine »;26/05/2016;ENVsp;34;A. Flipo - Smits Q.;61;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la bonne fontaine »;26/05/2016;Eptser;1;Smits Q.;1;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la bonne fontaine »;26/05/2016;Myoema;1;Smits Q.;1;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la bonne fontaine »;26/05/2016;Myomyo;1;Smits Q.;1;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la bonne fontaine »;26/05/2016;Myosp;5;;5;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la bonne fontaine »;26/05/2016;parasi;12;Smits Q.;30;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la bonne fontaine »;26/05/2016;Pip35;2;;2;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la bonne fontaine »;26/05/2016;Pip50;4;;4;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la bonne fontaine »;26/05/2016;Pipnat;2;A. Flipo;3;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la bonne fontaine »;26/05/2016;PippiT;191;;794;211791;59552;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:32;05:24;7,86666666666667
Bertrix - « la maljoyeuse »;24/05/2016;Myosp;1;Smits Q.;1;212824;55737;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:34;23:58;2,4
Bertrix - « la maljoyeuse »;24/05/2016;PippiT;26;;37;212824;55737;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:34;23:58;2,4
Bertrix - « le grand cheslet »;14/05/2016;ChiroSp;5;;5;212962;57328;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:15;00:32;3,28333333333333
Bertrix - « le grand cheslet »;14/05/2016;parasi;1;;1;212962;57328;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:15;00:32;3,28333333333333
Bertrix - « le grand cheslet »;14/05/2016;Pip50;2;;2;212962;57328;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:15;00:32;3,28333333333333
Bertrix - « le grand cheslet »;14/05/2016;PippiT;41;A. Flipo;155;212962;57328;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:15;00:32;3,28333333333333
Bertrix - « le gros bois »;15/05/2016;ChiroSp;1;;1;210013;59508;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:17;00:48;3,51666666666667
Bertrix - « le gros bois »;15/05/2016;Myosp;1;;1;210013;59508;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:17;00:48;3,51666666666667
Bertrix - « le gros bois »;15/05/2016;PippiT;3;;4;210013;59508;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:17;00:48;3,51666666666667
Bertrix - « le haut bi »;27/05/2016;ChiroSp;103;A. Flipo;150;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:43;05:13;7,5
Bertrix - « le haut bi »;27/05/2016;ENVsp;7;A. Flipo;9;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:43;05:13;7,5
Bertrix - « le haut bi »;27/05/2016;Myonat;3;Smits Q.;4;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:43;05:13;7,5
Bertrix - « le haut bi »;27/05/2016;Myosp;60;;83;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:43;05:13;7,5
Bertrix - « le haut bi »;27/05/2016;Nyclei;1;A. Flipo;1;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:43;05:13;7,5
Bertrix - « le haut bi »;27/05/2016;parasi;1;;1;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:43;05:13;7,5
Bertrix - « le haut bi »;27/05/2016;Pip35;1;A. Flipo;1;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:43;05:13;7,5
Bertrix - « le haut bi »;27/05/2016;Pip50;5;;5;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:43;05:13;7,5
Bertrix - « le haut bi »;27/05/2016;PippiT;321;;1185;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:43;05:13;7,5
Bertrix - « le haut bi »;28/05/2016;ChiroSp;57;A. Flipo - Smits Q.;70;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:35;05:18;7,71666666666667
Bertrix - « le haut bi »;28/05/2016;ENVsp;1;A. Flipo;2;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:35;05:18;7,71666666666667
Bertrix - « le haut bi »;28/05/2016;Myonat;1;Smits Q.;2;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:35;05:18;7,71666666666667
Bertrix - « le haut bi »;28/05/2016;Myosp;20;;20;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:35;05:18;7,71666666666667
Bertrix - « le haut bi »;28/05/2016;Nyclei;1;A. Flipo;1;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:35;05:18;7,71666666666667
Bertrix - « le haut bi »;28/05/2016;parasi;2;;2;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:35;05:18;7,71666666666667
Bertrix - « le haut bi »;28/05/2016;Pip35;2;;2;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:35;05:18;7,71666666666667
Bertrix - « le haut bi »;28/05/2016;Pip50;1;;1;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:35;05:18;7,71666666666667
Bertrix - « le haut bi »;28/05/2016;Pipnat;1;Smits Q.;1;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:35;05:18;7,71666666666667
Bertrix - « le haut bi »;28/05/2016;PippiT;255;;917;211997;58573;Forêt mixte;;SM2-B;Debaere T.;Barbalux;21:35;05:18;7,71666666666667
Bertrix - « lorie » vallée des Muno;10/05/2016;Barbar;2;P. Nyssen;2;212446;56823;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:21;05:52;8,51666666666667
Bertrix - « lorie » vallée des Muno;10/05/2016;ChiroSp;22;A. Flipo;30;212446;56823;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:21;05:52;8,51666666666667
Bertrix - « lorie » vallée des Muno;10/05/2016;ENVsp;2;A. Flipo;3;212446;56823;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:21;05:52;8,51666666666667
Bertrix - « lorie » vallée des Muno;10/05/2016;Myosp;12;;17;212446;56823;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:21;05:52;8,51666666666667
Bertrix - « lorie » vallée des Muno;10/05/2016;Nyclei;2;A. Flipo;2;212446;56823;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:21;05:52;8,51666666666667
Bertrix - « lorie » vallée des Muno;10/05/2016;parasi;9;;27;212446;56823;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:21;05:52;8,51666666666667
Bertrix - « lorie » vallée des Muno;10/05/2016;Pipnat;1;A. Flipo;1;212446;56823;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:21;05:52;8,51666666666667
Bertrix - « lorie » vallée des Muno;10/05/2016;PippiT;46;;85;212446;56823;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:21;05:52;8,51666666666667
Bertrix « gouttelle derrière la forêt »;13/05/2016;Barbar;1;P. Nyssen;1;211451;56073;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:25;05:27;8,03333333333333
Bertrix « gouttelle derrière la forêt »;13/05/2016;ChiroSp;53;;62;211451;56073;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:25;05:27;8,03333333333333
Bertrix « gouttelle derrière la forêt »;13/05/2016;Myosp;17;;18;211451;56073;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:25;05:27;8,03333333333333
Bertrix « gouttelle derrière la forêt »;13/05/2016;Nyclei;1;A. Flipo;1;211451;56073;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:25;05:27;8,03333333333333
Bertrix « gouttelle derrière la forêt »;13/05/2016;Pip50;4;;4;211451;56073;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:25;05:27;8,03333333333333
Bertrix « gouttelle derrière la forêt »;13/05/2016;PippiT;245;;504;211451;56073;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:25;05:27;8,03333333333333
Bertrix « la bênie »;13/05/2016;ChiroSp;63;P. Nyssen;95;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:27;05:11;7,73333333333333
Bertrix « la bênie »;13/05/2016;ENVsp;1;A. Flipo;1;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:27;05:11;7,73333333333333
Bertrix « la bênie »;13/05/2016;Myomyo;5;;5;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:27;05:11;7,73333333333333
Bertrix « la bênie »;13/05/2016;Myonat;1;;1;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:27;05:11;7,73333333333333
Bertrix « la bênie »;13/05/2016;Myosp;5;P. Nyssen;5;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:27;05:11;7,73333333333333
Bertrix « la bênie »;13/05/2016;parasi;2;;2;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:27;05:11;7,73333333333333
Bertrix « la bênie »;13/05/2016;Pippit;2;A. Flipo;2;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:27;05:11;7,73333333333333
Bertrix « la bênie »;13/05/2016;Pippyg;2;A. Flipo;5;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:27;05:11;7,73333333333333
Bertrix « la bênie »;14/05/2016;ChiroSp;25;B. Herry - P. Nyssen;32;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:40;05:51;8,18333333333333
Bertrix « la bênie »;14/05/2016;Myosp;5;;5;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:40;05:51;8,18333333333333
Bertrix « la bênie »;14/05/2016;parasi;2;;2;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:40;05:51;8,18333333333333
Bertrix « la bênie »;14/05/2016;Pip50;1;;1;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:40;05:51;8,18333333333333
Bertrix « la bênie »;14/05/2016;Pipnat;1;;1;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:40;05:51;8,18333333333333
Bertrix « la bênie »;14/05/2016;PippiT;45;;99;213168;56373;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:40;05:51;8,18333333333333
Bertrix « les Atisses »;27/05/2016;ChiroSp;12;;15;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:45;05:29;7,73333333333333
Bertrix « les Atisses »;27/05/2016;Myomys;1;Smits Q.;1;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:45;05:29;7,73333333333333
Bertrix « les Atisses »;27/05/2016;Myosp;9;Smits Q.;17;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:45;05:29;7,73333333333333
Bertrix « les Atisses »;27/05/2016;parasi;2;;2;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:45;05:29;7,73333333333333
Bertrix « les Atisses »;27/05/2016;PippiT;83;;123;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:45;05:29;7,73333333333333
Bertrix « les Atisses »;28/05/2016;ChiroSp;36;;40;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:42;05:27;7,75
Bertrix « les Atisses »;28/05/2016;Myonat;1;Smits Q.;1;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:42;05:27;7,75
Bertrix « les Atisses »;28/05/2016;Myosp;12;;12;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:42;05:27;7,75
Bertrix « les Atisses »;28/05/2016;parasi;3;Smits Q.;6;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:42;05:27;7,75
Bertrix « les Atisses »;28/05/2016;Pip50;2;;2;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:42;05:27;7,75
Bertrix « les Atisses »;28/05/2016;PippiT;132;;197;208971;59093;Forêt mixte;;SM2-A;Debaere T.;Barbalux;21:42;05:27;7,75
Bertrix - « bois-plat » vallée des Muno 1;10/05/2016;Barbar;1;P. Nyssen;1;212185;57684;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:23;05:28;8,08333333333333
Bertrix - « bois-plat » vallée des Muno 1;10/05/2016;ChiroSp;23;;35;212185;57684;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:23;05:28;8,08333333333333
Bertrix - « bois-plat » vallée des Muno 1;10/05/2016;ENVsp;4;A. Flipo;5;212185;57684;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:23;05:28;8,08333333333333
Bertrix - « bois-plat » vallée des Muno 1;10/05/2016;Eptser;1;A. Flipo;1;212185;57684;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:23;05:28;8,08333333333333
Bertrix - « bois-plat » vallée des Muno 1;10/05/2016;Myonat;1;;1;212185;57684;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:23;05:28;8,08333333333333
Bertrix - « bois-plat » vallée des Muno 1;10/05/2016;Myosp;7;;7;212185;57684;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:23;05:28;8,08333333333333
Bertrix - « bois-plat » vallée des Muno 1;10/05/2016;parasi;2;;2;212185;57684;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:23;05:28;8,08333333333333
Bertrix - « bois-plat » vallée des Muno 1;10/05/2016;Pip50;6;;6;212185;57684;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:23;05:28;8,08333333333333
Bertrix - « bois-plat » vallée des Muno 1;10/05/2016;PippiT;68;;84;212185;57684;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:23;05:28;8,08333333333333
Bertrix - « bois-plat » vallée des Muno 1;10/05/2016;Plesp;1;;1;212185;57684;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:23;05:28;8,08333333333333
Bertrix - « bois-plat » vallée des Muno 2;11/05/2016;ChiroSp;3;;3;211340;57311;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:11;01:23;4,2
Bertrix - « bois-plat » vallée des Muno 2;11/05/2016;parasi;5;;12;211340;57311;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:11;01:23;4,2
Bertrix - « bois-plat » vallée des Muno 2;11/05/2016;Pipnat;1;A. Flipo;1;211340;57311;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:11;01:23;4,2
Bertrix - « bois-plat » vallée des Muno 2;11/05/2016;PippiT;16;P. Nyssen;18;211340;57311;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:11;01:23;4,2
Bertrix - « bois-plat » vallée des Muno 2;11/05/2016;Plesp;1;;1;211340;57311;Forêt feuillue;;SM2-A;T. Debaere;Barbalux;21:11;01:23;4,2
Bertrix - « bois-plat » vallée des Muno 3;09/05/2016;ChiroSp;30;A. Flipo;38;212422;56911;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:10;05:55;8,75
Bertrix - « bois-plat » vallée des Muno 3;09/05/2016;Myosp;2;;2;212422;56911;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:10;05:55;8,75
Bertrix - « bois-plat » vallée des Muno 3;09/05/2016;parasi;5;;5;212422;56911;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:10;05:55;8,75
Bertrix - « bois-plat » vallée des Muno 3;09/05/2016;Pip50;2;;2;212422;56911;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:10;05:55;8,75
Bertrix - « bois-plat » vallée des Muno 3;09/05/2016;Pipnat;1;;1;212422;56911;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:10;05:55;8,75
Bertrix - « bois-plat » vallée des Muno 3;09/05/2016;PippiT;87;;122;212422;56911;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:10;05:55;8,75
Bertrix - « bois-plat » vallée des Muno 3;09/05/2016;Plesp;1;;1;212422;56911;Forêt feuillue;;SM2-B;T. Debaere;Barbalux;21:10;05:55;8,75
Bois chêne Bellefontaine;26/06/2016;ChiroSp;63;A. Flipo;123;230225;40368;;;SM2-2;P. Verte;Barbalux;22:10;05:02;6,86666666666667
Bois chêne Bellefontaine;26/06/2016;Myosp;10;Smits Q.;10;230225;40368;;;SM2-2;P. Verte;Barbalux;22:10;05:02;6,86666666666667
Bois chêne Bellefontaine;26/06/2016;Pip50;3;;4;230225;40368;;;SM2-2;P. Verte;Barbalux;22:10;05:02;6,86666666666667
Bois chêne Bellefontaine;26/06/2016;PippiT;84;;310;230225;40368;;;SM2-2;P. Verte;Barbalux;22:10;05:02;6,86666666666667
Bois chêne Bellefontaine;26/06/2016;Rhifer;1;Smits Q.;1;230225;40368;;;SM2-2;P. Verte;Barbalux;22:10;05:02;6,86666666666667
